model,split,held_out,n_train,n_test,accuracy,balanced_accuracy,macro_f1,left_recall,right_recall,true_left,left_as_right,right_as_left,true_right
pca_8,expanded-development,S062,2733,45,0.7333333333333333,0.733201581027668,0.733201581027668,0.7391304347826086,0.7272727272727273,17,6,6,16
pca_8,expanded-development,S070,2733,45,0.5111111111111111,0.5148221343873518,0.4989878542510121,0.6818181818181818,0.34782608695652173,15,7,15,8
pca_8,expanded-development,S072,2733,42,0.7380952380952381,0.7380952380952381,0.7343300747556067,0.8571428571428571,0.6190476190476191,18,3,8,13
pca_16,expanded-development,S006,2733,45,0.4888888888888889,0.4910714285714286,0.4888888888888889,0.4583333333333333,0.5238095238095238,11,13,10,11
pca_16,expanded-development,S012,2733,45,0.5777777777777777,0.5892857142857143,0.5701357466063348,0.7619047619047619,0.4166666666666667,16,5,14,10
pca_16,expanded-development,S019,2733,39,0.48717948717948717,0.5158730158730158,0.42307692307692313,0.14285714285714285,0.8888888888888888,3,18,2,16
pca_16,expanded-development,S021,2733,25,0.68,0.6698717948717949,0.6527777777777778,0.9230769230769231,0.4166666666666667,12,1,7,5
pca_16,expanded-development,S029,2733,45,0.7333333333333333,0.7391304347826086,0.7163865546218487,0.4782608695652174,1.0,11,12,0,22
pca_16,expanded-development,S035,2733,45,0.7111111111111111,0.7075098814229248,0.7016828148903621,0.5454545454545454,0.8695652173913043,12,10,3,20
pca_16,expanded-development,S037,2733,42,0.5,0.5,0.3333333333333333,1.0,0.0,21,0,21,0
pca_16,expanded-development,S045,2733,45,0.5555555555555556,0.5474308300395256,0.48156682027649766,0.9130434782608695,0.18181818181818182,21,2,18,4
pca_16,expanded-development,S046,2733,45,0.6,0.6027667984189724,0.595,0.4782608695652174,0.7272727272727273,11,12,6,16
pca_16,expanded-development,S047,2733,45,0.5111111111111111,0.5029761904761905,0.4989878542510121,0.625,0.38095238095238093,15,9,13,8
pca_16,expanded-development,S054,2733,45,0.7777777777777778,0.7806324110671936,0.775,0.6521739130434783,0.9090909090909091,15,8,2,20
