model,split,held_out,n_train,n_test,accuracy,balanced_accuracy,macro_f1,left_recall,right_recall,true_left,left_as_right,right_as_left,true_right
pca_8,subject-grouped,S004,399,45,0.5111111111111111,0.516798418972332,0.48004201680672265,0.2608695652173913,0.7727272727272727,6,17,5,17
pca_16,subject-grouped,S004,399,45,0.5111111111111111,0.5217391304347826,0.375,0.043478260869565216,1.0,1,22,0,22
pca_32,subject-grouped,S004,399,45,0.5333333333333333,0.541501976284585,0.465799886941775,0.17391304347826086,0.9090909090909091,4,19,2,20
pca_64,subject-grouped,S004,399,45,0.5111111111111111,0.5187747035573123,0.44999999999999996,0.17391304347826086,0.8636363636363636,4,19,3,19
no_pca,subject-grouped,S005,399,45,0.5111111111111111,0.49107142857142855,0.44999999999999996,0.19047619047619047,0.7916666666666666,4,17,5,19
pca_8,subject-grouped,S005,399,45,0.5333333333333333,0.5059523809523809,0.4184615384615385,0.09523809523809523,0.9166666666666666,2,19,2,22
pca_16,subject-grouped,S005,399,45,0.4666666666666667,0.4970238095238095,0.35096153846153844,0.9523809523809523,0.041666666666666664,20,1,23,1
pca_32,subject-grouped,S005,399,45,0.37777777777777777,0.40178571428571425,0.3,0.7619047619047619,0.041666666666666664,16,5,23,1
pca_64,subject-grouped,S005,399,45,0.4444444444444444,0.43452380952380953,0.4263131055583886,0.2857142857142857,0.5833333333333334,6,15,10,14
no_pca,subject-grouped,S006,399,45,0.4444444444444444,0.46428571428571425,0.4019138755980861,0.16666666666666666,0.7619047619047619,4,20,5,16
pca_8,subject-grouped,S006,399,45,0.5555555555555556,0.5386904761904762,0.5150862068965517,0.7916666666666666,0.2857142857142857,19,5,15,6
pca_16,subject-grouped,S006,399,45,0.4666666666666667,0.4642857142857143,0.4642857142857143,0.5,0.42857142857142855,12,12,12,9
pca_32,subject-grouped,S006,399,45,0.5555555555555556,0.5386904761904762,0.5150862068965517,0.7916666666666666,0.2857142857142857,19,5,15,6
pca_64,subject-grouped,S006,399,45,0.5777777777777777,0.5803571428571428,0.5777777777777777,0.5416666666666666,0.6190476190476191,13,11,8,13
no_pca,subject-grouped,S007,399,45,0.6888888888888889,0.6897233201581028,0.6887351778656126,0.6521739130434783,0.7272727272727273,15,8,6,16
pca_8,subject-grouped,S007,399,45,0.5333333333333333,0.5434782608695652,0.4184615384615385,0.08695652173913043,1.0,2,21,0,22
pca_16,subject-grouped,S007,399,45,0.7111111111111111,0.717391304347826,0.6889952153110048,0.43478260869565216,1.0,10,13,0,22
pca_32,subject-grouped,S007,399,45,0.6444444444444445,0.642292490118577,0.64,0.7391304347826086,0.5454545454545454,17,6,10,12
pca_64,subject-grouped,S007,399,45,0.5777777777777777,0.5731225296442688,0.5558441558441558,0.782608695652174,0.36363636363636365,18,5,14,8
no_pca,subject-grouped,S008,399,45,0.7111111111111111,0.708498023715415,0.7058823529411764,0.5909090909090909,0.8260869565217391,13,9,4,19
pca_8,subject-grouped,S008,399,45,0.4888888888888889,0.5,0.3283582089552239,1.0,0.0,22,0,23,0
pca_16,subject-grouped,S008,399,45,0.5555555555555556,0.5602766798418972,0.537037037037037,0.7727272727272727,0.34782608695652173,17,5,15,8
pca_32,subject-grouped,S008,399,45,0.6222222222222222,0.6245059288537549,0.6192135390741662,0.7272727272727273,0.5217391304347826,16,6,11,12
pca_64,subject-grouped,S008,399,45,0.5777777777777777,0.5711462450592886,0.5325314379442319,0.2727272727272727,0.8695652173913043,6,16,3,20
no_pca,subject-grouped,S009,405,39,0.4358974358974359,0.4473684210526316,0.30357142857142855,0.8947368421052632,0.0,17,2,20,0
pca_8,subject-grouped,S009,405,39,0.5128205128205128,0.5,0.3389830508474576,0.0,1.0,0,19,0,20
pca_16,subject-grouped,S009,405,39,0.5641025641025641,0.5618421052631579,0.5594684385382059,0.47368421052631576,0.65,9,10,7,13
pca_32,subject-grouped,S009,405,39,0.6153846153846154,0.6118421052631579,0.606060606060606,0.47368421052631576,0.75,9,10,5,15
pca_64,subject-grouped,S009,405,39,0.48717948717948717,0.48947368421052634,0.48412698412698413,0.5789473684210527,0.4,11,8,12,8
no_pca,subject-grouped,S010,399,45,0.6222222222222222,0.6309523809523809,0.6192135390741662,0.5,0.7619047619047619,12,12,5,16
pca_8,subject-grouped,S010,399,45,0.5333333333333333,0.5357142857142857,0.5333333333333333,0.5,0.5714285714285714,12,12,9,12
pca_16,subject-grouped,S010,399,45,0.6,0.6130952380952381,0.590080971659919,0.4166666666666667,0.8095238095238095,10,14,4,17
pca_32,subject-grouped,S010,399,45,0.6,0.5982142857142857,0.5982142857142857,0.625,0.5714285714285714,15,9,9,12
pca_64,subject-grouped,S010,399,45,0.5111111111111111,0.5148809523809523,0.5108695652173914,0.4583333333333333,0.5714285714285714,11,13,9,12
